unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
11503;26.08.2023;1;foot;day;0;NOS;;Jugendcup Einzellauf;;OL Regio Wil;Hirschberg;;;;;0;05.11.2021 19:28
11830;26.08.2023;1;foot;day;0;NOS;*39;55. Engelburger OL;;OLG St. Gallen/ Appenzell;Hirschberg;;;;;0;08.12.2022 16:30
11928;26.08.2023;1;foot;day;0;TI;140;3. Sprint-Cup SCOM;http://www.asti-ticino.ch/co/;SCOM Mendrisio;Soazza;;;;;3;08.12.2022 17:13
11504;27.08.2023;1;foot;day;0;NOS;S;Jugendcup Staffel;;OL Regio Wil;Appenzell;;;;;0;05.11.2021 19:28
11523;27.08.2023;1;foot;day;0;NOS;;European University Orienteering Championchips;;OLG St. Gallen / Appenzell;Appenzell;;;;;0;07.12.2021 19:23
11929;27.08.2023;1;foot;day;0;TI;141;8. TMO SCOM Passo San Bernadino;http://www.asti-ticino.ch/co/;SCOM Mendrisio;Passo San Bernardino;;;;20.08.2023;5;08.12.2022 17:13
11817;30.08.2023;1;foot;day;0;NWS;142;Seewener OL-Fest;;OLC Binningen;Seewen;;616125;254350;28.08.2023;5;08.12.2022 17:14
12025;30.08.2023;1;foot;day;0;BE/SO;143;6. Berner Abendlauf;https://olregioburgdorf.ch/;OL Regio Burgdorf;Düttisberg;;;;;0;08.12.2022 17:14
12017;31.08.2023;1;foot;day;0;BE/SO;*40;6. impOLs OL;https://www.olgherzogenbuchsee.ch/;OLG Herzogenbuchsee;Oenzberg;;;;;0;08.12.2022 16:30
11941;01.09.2023;1;foot;day;0;TI;144;3. Fragori;http://www.asti-ticino.ch/co/;CO AGET Lugano;Giubiasco;;;;;3;08.12.2022 17:14
12122;01.09.2023;1;foot;day;0;NOS;;10. Lauf Öpfel-Trophy;https://oepfel-trophy.ch/termine-2023/;OL Regio Wil;Ettenhausen;;;;;0;13.01.2023 01:09
11628;03.09.2023;1;bike;day;0;NWS;SC301;Bike-O Langdistanz Meisterschaft;;Bike O Nordwestschweiz;Halmet – Rheinfelderberg;;;;;0;08.12.2022 17:34
